,brain_g,body_g,diet
Alouatta_caraya,52.71988304,5596.653333,Fol
Alouatta_palliata,50.90798009,6358.996667,Fol
Alouatta_pigra,52.9655,8940,Fol
Alouatta_seniculus,56.57012963,6247.359744,Fol
Aotus_azarai,21.41265233,1073.19,Frug/Fol
Aotus_lemurinus,16.78195832,869.98,Frug
Aotus_trivirgatus,17.21332416,870.8,Frug
Arctocebus_calabarensis,7.17056343,239.3366667,Om
Ateles_belzebuth,118.5758737,6409.14,Frug/Fol
Ateles_fusciceps,114.5874241,8033.97,Frug
Ateles_geoffroyi,108.5350006,6711.8,Frug
Ateles_paniscus,105.9410345,7789.527778,Frug
Avahi_laniger,10.25135534,1300,Fol
Avahi_occidentalis,8.2362,795.5,Fol
Brachyteles_arachnoides,120.1,9247.5,Frug/Fol
Bunopithecus_hoolock,114.66485,6787,Frug
Cacajao_calvus,73.3,3293.02,Frug
Callicebus_moloch,17.725,883.8052381,Frug
Callicebus_torquatus,20.55927496,1152.5,Frug
Callimico_goeldii,11.75188692,538.5,Om
Callithrix_argentata,8.045805332,361.1233333,Om
Callithrix_geoffroyi,8.642857143,342,Om
Callithrix_jacchus,7.643613607,272.705,Frug
Callithrix_penicillata,7.554774421,323.49,Om
Callithrix_pygmaea,4.452087064,125.8133333,Om
Cebus_albifrons,64.7148031,2535.56,Om
Cebus_apella,68.74714508,2669.21,Om
Cebus_capucinus,73.78615672,2798.107778,Om
Cebus_olivaceus,72.96288722,2646.88,Om
Cercocebus_agilis,118.3199845,7552.81,Frug
Cercocebus_torquatus_atys,99.80592857,7770.62,Frug
Cercocebus_galeritus,102.6369551,7837.5,Frug
Cercocebus_torquatus,111.4337939,8239.801111,Frug
Chlorocebus_pygerythrus,64.77661444,4060,Frug
Cercopithecus_ascanius,63.61533538,4156.746667,Frug
Cercopithecus_campbelli,58.98195992,3775.91,Frug
Cercopithecus_cephus,67.9250755,3516.626667,Frug
Cercopithecus_diana,64.86223333,4519.636667,Frug
Cercopithecus_lhoesti,76,5003.735,Frug
Cercopithecus_mitis,73.95943938,6335.43,Frug
Cercopithecus_mona,65.69504887,4466.723333,Frug
Cercopithecus_neglectus,67.5429959,5589.84,Frug
Cercopithecus_nictitans,73.6855,5178.136667,Frug
Cercopithecus_pogonias,63.26794444,3588.09,Frug
Cheirogaleus_major,6.119796595,430.34,Om
Cheirogaleus_medius,2.912290909,188.88,Om
Chiropotes_satanas,50.07019857,2955.135,Frug
Chlorocebus_aethiops,63.92378798,4214.496667,Frug
Colobus_angolensis,71.56391154,8807.655,Fol
Piliocolobus_badius,65.96776666,8105,Fol
Colobus_guereza,77.37075498,10052.37667,Fol
Colobus_polykomos,76.02049416,9118.541111,Fol
Colobus_satanas,80.2,10750,Fol
Procolobus_verus,54.52871124,4025,Fol
Daubentonia_madagascariensis,46.34472526,2603.123333,Om
Erythrocebus_patas,97.87219042,7858.15,Om
Eulemur_coronatus,21.39439752,2099.925,Frug/Fol
Eulemur_fulvus_fulvus,24.78624892,2332.33,Frug/Fol
Eulemur_macaco_macaco,24.63420724,2336.81,Frug/Fol
Eulemur_mongoz,21.45154487,1810.376667,Frug/Fol
Eulemur_rubriventer,26.92409915,1726.8,Frug/Fol
Euoticus_elegantulus,5.733931588,303.4933333,Om
Galago_alleni,6.1,250,Om
Galago_moholi,3.83863657,183.48,Om
Galago_senegalensis,4.129689917,210.4111111,Om
Galagoides_demidoff,3.38,62.23555556,Om
Galagoides_zanzibaricus,3.64118517,147.35,Om
Gorilla_beringei,508.9591388,136212.595,Fol
Gorilla_gorilla_gorilla,507.2466269,121326.9967,Fol
Hapalemur_griseus,14.6002444,1021.333333,Fol
Hylobates_agilis,90.647625,5251.36,Frug/Fol
Hylobates_klossii,92.04337338,5861.145,Om
Hylobates_lar,105.276397,5462.87,Frug
Hylobates_moloch,106.708,6034.405,Frug/Fol
Hylobates_muelleri,90.8927958,5837.405,Frug/Fol
Hylobates_pileatus,87.73385185,5638.685,Frug/Fol
Indri_indri,36.30860992,10500,Fol
Lagothrix_lagotricha,99.68833333,7647.896667,Om
Lemur_catta,23.24557974,2380.493333,Frug
Leontopithecus_chrysomelas,12.2618585,613.65,Om
Leontopithecus_rosalia,13.11586768,623.51,Om
Lepilemur_mustelinus,9.90406676,625,Fol
Lepilemur_ruficaudatus,8.4434,750,Fol
Lophocebus_albigena,97.48909348,7932.236667,Frug
Lophocebus_aterrimus,108.9050072,6655.185,Frug
Loris_tardigradus,6.05152171,269.8066667,Om
Macaca_arctoides,101.0578766,7877.68,Frug
Macaca_fascicularis,66.52984081,4644.106667,Frug
Macaca_fuscata,98.59266667,9498.88,Frug/Fol
Macaca_mulatta,88.94143559,6471.73,Frug
Macaca_nemestrina,109.8711434,7244.593333,Frug
Macaca_nigra,91.456,7662.195,Frug
Macaca_radiata,79.46647349,5877.495,Frug
Macaca_silenus,82.88,6935.125,Om
Macaca_sinica,73.14189261,4512.995,Frug
Macaca_sylvanus,97.36450307,11173.265,Frug/Fol
Mandrillus_leucophaeus,185.962,16251.65,Frug
Mandrillus_sphinx,162.4087246,19842.53,Frug
Microcebus_murinus,1.720847331,63.93333333,Om
Microcebus_rufus,1.778192127,48.39,Om
Miopithecus_talapoin,37.7,1236.953333,Om
Mirza_coquereli,6.004526759,315.2333333,Om
Nasalis_larvatus,96.21140265,13441.825,Fol
Nomascus_concolor,131.7,6631.735,Frug
Nycticebus_coucang,10.72860708,838.35,Om
Nycticebus_pygmaeus,7.533648222,413.7733333,Om
Otolemur_crassicaudatus,12.20149501,1367.203333,Om
Otolemur_garnettii,11.23904137,1055.585,Om
Pan_paniscus,346.2373867,37522.475,Frug
Pan_troglodytes_troglodytes,376.1254607,48328,Frug
Papio_anubis,171.7975374,17209.52,Frug
Papio_cynocephalus,169.4079477,14290.71667,Frug
Papio_hamadryas,154.4376,12002.36,Frug/Fol
Papio_papio,165.3,17811.025,Frug
Papio_ursinus,195.4334722,20014.72,Frug/Fol
Perodicticus_potto,12.84560415,1124.492222,Om
Pithecia_pithecia,33.35197723,1573.595,Frug
Pongo_abelii,409.5198448,48223.06,Frug
Pongo_pygmaeus,382.4565085,55279.145,Frug
Presbytis_comata,61.124,6460,Fol
Presbytis_melalophos,66.90504329,5326.373333,Fol
Propithecus_diadema,41.2320968,7500,Fol
Propithecus_verreauxi,27.04945139,3389.42,Fol
Pygathrix_nemaeus,91.95635896,9250.366667,Fol
Saguinus_fuscicollis,8.147165526,406.83,Om
Saguinus_geoffroyi,14.12940757,495.9,Om
Saguinus_midas,10.12270106,551.4533333,Om
Saguinus_mystax,11.52349279,541.2185714,Om
Saguinus_oedipus,9.759725425,388.8466667,Om
Saimiri_boliviensis,25.73991794,707.225,Om
Saimiri_oerstedii,23.10847227,670,Om
Saimiri_sciureus,24.14173107,811.49,Om
Semnopithecus_entellus,113.7803778,11398.76333,Fol
Symphalangus_syndactylus,128.8891378,9246.333333,Fol
Tarsius_bancanus,3.249839527,104.83,Om
Tarsius_syrichta,3.479635532,107.5366667,Om
Theropithecus_gelada,136.2073239,14788.03667,Frug
Trachypithecus_cristatus,59.14751404,5453.936667,Fol
Trachypithecus_johnii,86.48189389,11098.36,Fol
Trachypithecus_obscurus,63.66254877,5775.96,Fol
Trachypithecus_phayrei,76.73630109,8040.86,Fol
Trachypithecus_pileatus,107.3719186,10153.31,Fol
Trachypithecus_vetulus,63.49900193,7705.693333,Fol
Varecia_variegata_variegata,32.639348,3335,Frug
